year,month,date,string
1915,August,16,"['1915/08/16', '16 Aug 1915', '08/16/1915', '16th August, 1915', 'August 16th, 1915', '1915-08-16']"
2087,July,2,"['2087-07-02', '02/07/2087', '2087/07/02', '02 Jul 2087', 'July 2nd, 2087']"
2018,August,3,"['03/08/2018', 'August 3rd, 2018', '03-08-2018', '03 Aug 2018', '08/03/2018', '2018-08-03', '2018/08/03', '3rd August, 2018']"
1988,March,10,"['March 10th, 1988', '10-03-1988', '03/10/1988', '1988/03/10']"
1983,August,9,"['09-08-1983', 'August 9th, 1983', '09 Aug 1983']"
1931,March,5,"['05 Mar 1931', 'March 5th, 1931', '05-03-1931', '03/05/1931', '1931-03-05', '05/03/1931', '5th March, 1931', '1931/03/05']"
1945,May,24,"['24 May 1945', '1945-05-24', '1945/05/24', 'May 24th, 1945', '24/05/1945', '24-05-1945']"
1954,October,20,"['20th October, 1954']"
1932,December,14,"['14-12-1932', '14/12/1932', 'December 14th, 1932', '12/14/1932', '1932/12/14', '14 Dec 1932', '14th December, 1932', '1932-12-14']"
2068,May,28,"['28/05/2068', '28th May, 2068', '28-05-2068', '28 May 2068', 'May 28th, 2068']"
1974,May,11,['11 May 1974']
2073,July,26,['07/26/2073']
1985,April,5,"['04/05/1985', '5th April, 1985', '05-04-1985', '05/04/1985', '1985/04/05', '1985-04-05', '05 Apr 1985']"
1978,July,9,"['1978/07/09', '07/09/1978', '09-07-1978', '1978-07-09', 'July 9th, 1978', '09/07/1978', '9th July, 1978', '09 Jul 1978']"
1959,March,29,['29/03/1959']
1921,December,5,['05-12-1921']
1948,July,24,"['July 24th, 1948', '1948/07/24', '07/24/1948', '24th July, 1948', '24/07/1948', '24 Jul 1948', '24-07-1948', '1948-07-24']"
1948,December,12,['12-12-1948']
1993,December,25,['25/12/1993']
1968,December,2,"['1968-12-02', '2nd December, 1968', '02-12-1968', '02/12/1968', '02 Dec 1968', '12/02/1968']"
1933,December,7,"['12/07/1933', '7th December, 1933', 'December 7th, 1933', '07/12/1933', '07-12-1933', '07 Dec 1933']"
2078,January,3,['01/03/2078']
2022,October,28,"['28/10/2022', '2022/10/28', '10/28/2022', '28-10-2022']"
2092,October,28,"['2092/10/28', '28 Oct 2092', '28/10/2092', '28-10-2092', '28th October, 2092', '2092-10-28', '10/28/2092']"
1996,October,17,"['1996-10-17', '10/17/1996', '17-10-1996', '17 Oct 1996', '1996/10/17', '17/10/1996']"
2007,June,28,"['28th June, 2007', '28 Jun 2007', '06/28/2007', '28-06-2007']"
1961,July,1,"['01/07/1961', '01-07-1961', '01 Jul 1961', '07/01/1961', 'July 1st, 1961']"
1944,October,14,['14 Oct 1944']
2010,September,27,"['27 Sep 2010', '2010-09-27']"
1941,March,12,"['1941/03/12', '12th March, 1941', '1941-03-12', '03/12/1941', '12/03/1941', '12-03-1941', 'March 12th, 1941', '12 Mar 1941']"
1913,January,16,"['16/01/1913', '01/16/1913', 'January 16th, 1913', '16th January, 1913', '16-01-1913', '16 Jan 1913', '1913-01-16', '1913/01/16']"
2039,August,8,"['8th August, 2039', '2039/08/08', '08/08/2039', '08 Aug 2039', '2039-08-08', 'August 8th, 2039', '08-08-2039']"
2033,November,8,"['08 Nov 2033', '2033/11/08', 'November 8th, 2033', '08/11/2033', '11/08/2033', '08-11-2033']"
1998,August,18,"['1998-08-18', '08/18/1998', '18-08-1998', '18th August, 1998', '1998/08/18', '18/08/1998', 'August 18th, 1998', '18 Aug 1998']"
1934,July,13,['1934-07-13']
2054,September,18,"['09/18/2054', 'September 18th, 2054', '2054-09-18', '2054/09/18', '18 Sep 2054', '18-09-2054', '18/09/2054']"
1967,July,1,"['1967-07-01', '01 Jul 1967', '01-07-1967', '1st July, 1967']"
1944,August,11,"['11th August, 1944']"
1935,December,4,"['4th December, 1935', '12/04/1935', '1935-12-04', '04-12-1935', '04/12/1935', '04 Dec 1935', 'December 4th, 1935', '1935/12/04']"
1935,October,14,"['10/14/1935', '1935-10-14', 'October 14th, 1935', '14th October, 1935', '14/10/1935']"
2037,September,5,"['2037-09-05', '2037/09/05']"
2068,February,2,"['2068/02/02', '02/02/2068', '02-02-2068']"
2045,March,6,"['2045-03-06', '03/06/2045', '6th March, 2045', 'March 6th, 2045', '2045/03/06', '06/03/2045', '06 Mar 2045']"
1907,May,16,"['May 16th, 1907', '1907-05-16', '1907/05/16', '05/16/1907']"
2099,November,6,"['2099/11/06', '06 Nov 2099']"
1929,March,2,"['02-03-1929', '1929-03-02', '2nd March, 1929', 'March 2nd, 1929', '1929/03/02', '02/03/1929', '03/02/1929']"
1927,December,28,"['12/28/1927', 'December 28th, 1927', '1927-12-28', '28 Dec 1927', '1927/12/28', '28th December, 1927']"
1926,September,26,"['09/26/1926', '26th September, 1926']"
2023,April,11,"['April 11th, 2023', '11/04/2023', '2023-04-11', '11th April, 2023', '11 Apr 2023', '11-04-2023', '04/11/2023']"
1901,December,6,"['1901/12/06', '1901-12-06']"
2090,March,9,"['03/09/2090', '09/03/2090', '2090/03/09', '09-03-2090', '09 Mar 2090']"
2006,August,8,"['08-08-2006', '8th August, 2006', '08 Aug 2006']"
1902,April,10,"['10 Apr 1902', '10-04-1902', '10/04/1902', '10th April, 1902']"
1904,July,8,"['July 8th, 1904', '07/08/1904', '1904/07/08']"
1974,July,22,"['22 Jul 1974', '22/07/1974', '1974-07-22', '07/22/1974', '1974/07/22', '22nd July, 1974', '22-07-1974', 'July 22nd, 1974']"
2011,April,6,"['6th April, 2011', 'April 6th, 2011', '06 Apr 2011', '06/04/2011', '2011-04-06']"
2067,September,27,"['September 27th, 2067', '09/27/2067', '27-09-2067', '27 Sep 2067', '27/09/2067', '2067/09/27', '27th September, 2067']"
2052,April,12,"['12-04-2052', '04/12/2052']"
2071,October,14,"['14-10-2071', '14/10/2071']"
1937,December,4,"['04-12-1937', 'December 4th, 1937', '4th December, 1937', '1937-12-04', '12/04/1937', '1937/12/04']"
1938,March,20,"['20 Mar 1938', '03/20/1938', '20/03/1938', '1938-03-20', '1938/03/20', '20-03-1938']"
2004,July,21,['21-07-2004']
1980,January,24,['1980/01/24']
2037,January,24,"['24-01-2037', '24 Jan 2037', '24/01/2037', '2037/01/24', '01/24/2037']"
1966,July,30,['1966-07-30']
2042,August,15,"['15 Aug 2042', '08/15/2042', '15-08-2042']"
1925,June,26,"['26th June, 1925', '06/26/1925', '26-06-1925', 'June 26th, 1925', '26 Jun 1925']"
1906,August,23,"['1906-08-23', '23 Aug 1906', '23rd August, 1906', '23-08-1906', 'August 23rd, 1906', '1906/08/23']"
2072,June,21,"['2072/06/21', '21 Jun 2072', 'June 21st, 2072']"
2028,May,23,"['23/05/2028', '2028/05/23']"
1929,October,22,"['22 Oct 1929', '22nd October, 1929', '1929-10-22']"
2072,May,18,"['18/05/2072', '18 May 2072', '2072-05-18']"
1956,December,26,"['26-12-1956', '1956-12-26']"
1983,July,21,"['July 21st, 1983', '1983-07-21', '1983/07/21', '07/21/1983']"
2052,September,2,"['September 2nd, 2052']"
2037,January,10,"['2037-01-10', 'January 10th, 2037']"
2031,November,1,"['November 1st, 2031', '2031-11-01']"
1961,March,14,"['1961-03-14', '03/14/1961', '14 Mar 1961', '14th March, 1961']"
1933,September,27,"['27 Sep 1933', 'September 27th, 1933']"
1932,December,27,"['December 27th, 1932']"
2006,November,25,"['11/25/2006', '2006-11-25', '25 Nov 2006', '25th November, 2006', 'November 25th, 2006']"
1908,September,9,"['09-09-1908', '9th September, 1908', '09/09/1908', '1908/09/09', 'September 9th, 1908', '1908-09-09', '09/09/1908']"
1951,January,3,"['January 3rd, 1951']"
2020,October,24,"['2020-10-24', '2020/10/24', '10/24/2020', '24/10/2020', '24th October, 2020']"
1977,September,27,['09/27/1977']
2066,April,17,"['2066-04-17', '17th April, 2066', '2066/04/17', 'April 17th, 2066', '04/17/2066', '17-04-2066', '17/04/2066']"
1982,July,20,"['1982/07/20', '1982-07-20', '20-07-1982', '20/07/1982', '20 Jul 1982', '07/20/1982']"
2044,February,26,"['02/26/2044', '26/02/2044', '2044/02/26', 'February 26th, 2044']"
1958,May,25,"['25-05-1958', '1958-05-25', '1958/05/25']"
2056,May,23,"['23-05-2056', '2056/05/23', '23rd May, 2056', '05/23/2056', '23 May 2056', 'May 23rd, 2056', '23/05/2056', '2056-05-23']"
1990,May,2,['1990/05/02']
2094,September,27,"['27/09/2094', '09/27/2094', '27-09-2094', '2094-09-27', 'September 27th, 2094']"
1906,February,16,"['February 16th, 1906', '16th February, 1906', '16 Feb 1906', '16-02-1906', '1906/02/16']"
2016,August,6,"['2016/08/06', '06/08/2016', '6th August, 2016', '06-08-2016', '06 Aug 2016']"
2019,October,26,"['26th October, 2019', 'October 26th, 2019', '2019-10-26', '26/10/2019', '26-10-2019', '10/26/2019', '2019/10/26', '26 Oct 2019']"
1984,August,25,"['08/25/1984', '25th August, 1984', '1984/08/25', '25/08/1984', '1984-08-25']"
2041,November,5,"['05/11/2041', '05-11-2041', '11/05/2041']"
1969,October,29,"['10/29/1969', '29/10/1969', '1969-10-29', '29th October, 1969', '29-10-1969']"
1930,October,6,"['1930/10/06', '1930-10-06', '10/06/1930', 'October 6th, 1930', '06/10/1930', '06-10-1930', '6th October, 1930', '06 Oct 1930']"
2078,July,5,"['July 5th, 2078', '07/05/2078', '2078/07/05']"
1919,April,5,"['1919-04-05', '05-04-1919', '05 Apr 1919', '05/04/1919']"
2018,September,6,"['06-09-2018', '2018-09-06']"
1989,April,18,"['18/04/1989', '18 Apr 1989', '1989-04-18']"
1955,May,26,['26/05/1955']
1902,June,10,"['1902/06/10', '06/10/1902']"
2038,May,4,['04/05/2038']
1966,September,18,"['1966-09-18', '18/09/1966']"
1974,January,6,['1974-01-06']
2085,August,11,"['08/11/2085', 'August 11th, 2085', '2085-08-11', '11th August, 2085', '11 Aug 2085']"
2072,June,9,"['09-06-2072', '06/09/2072', '2072/06/09', 'June 9th, 2072', '2072-06-09', '9th June, 2072']"
2000,December,9,"['09-12-2000', '2000-12-09', '9th December, 2000', '2000/12/09', '09/12/2000', '12/09/2000']"
1962,January,16,"['16-01-1962', '16 Jan 1962', '01/16/1962', '16th January, 1962', '1962-01-16', '16/01/1962']"
1918,May,29,"['29th May, 1918', '29/05/1918', '29 May 1918', '05/29/1918']"
2089,May,8,"['08 May 2089', '2089-05-08']"
1979,February,28,"['1979-02-28', 'February 28th, 1979', '28-02-1979', '28th February, 1979']"
1942,October,17,"['17/10/1942', 'October 17th, 1942', '17 Oct 1942', '10/17/1942', '1942/10/17', '17th October, 1942']"
1901,February,11,"['11th February, 1901', '11-02-1901', 'February 11th, 1901']"
1991,December,16,"['1991/12/16', 'December 16th, 1991', '16 Dec 1991', '1991-12-16']"
1902,May,29,"['29 May 1902', '1902/05/29', '29/05/1902', '05/29/1902', '29-05-1902', '29th May, 1902', '1902-05-29']"
1998,September,12,"['1998/09/12', '1998-09-12', '12 Sep 1998', '12th September, 1998', '12/09/1998', 'September 12th, 1998']"
2081,May,27,"['27-05-2081', '27 May 2081', '2081/05/27', '05/27/2081']"
1964,May,5,"['5th May, 1964', '05 May 1964', '05/05/1964', '1964-05-05', '05/05/1964', '05-05-1964', '1964/05/05', 'May 5th, 1964']"
2049,June,20,['20-06-2049']
1960,April,24,"['April 24th, 1960', '24th April, 1960']"
1923,July,29,"['29th July, 1923', '29-07-1923', '1923/07/29', '29/07/1923', '07/29/1923', '29 Jul 1923', 'July 29th, 1923', '1923-07-29']"
1992,August,20,"['1992/08/20', '20 Aug 1992', '20/08/1992', 'August 20th, 1992', '08/20/1992', '20-08-1992', '20th August, 1992']"
2023,February,20,"['20 Feb 2023', '20-02-2023', 'February 20th, 2023', '02/20/2023', '2023/02/20', '20th February, 2023']"
1977,May,18,"['18 May 1977', '1977-05-18', '05/18/1977', '18th May, 1977']"
2017,January,13,['13/01/2017']
1949,May,13,"['05/13/1949', '13 May 1949', '13-05-1949', 'May 13th, 1949', '1949-05-13', '1949/05/13']"
2025,February,10,"['10/02/2025', '10-02-2025', 'February 10th, 2025']"
1917,November,4,"['04 Nov 1917', 'November 4th, 1917', '11/04/1917', '1917-11-04', '1917/11/04', '04-11-1917', '04/11/1917']"
2089,May,23,"['23/05/2089', '23 May 2089', '05/23/2089']"
1949,April,18,"['18th April, 1949', '18 Apr 1949', 'April 18th, 1949', '18/04/1949', '18-04-1949', '04/18/1949', '1949-04-18', '1949/04/18']"
2032,November,29,"['29/11/2032', '2032-11-29', '29-11-2032', '11/29/2032', '2032/11/29', 'November 29th, 2032']"
2075,April,24,"['04/24/2075', '24-04-2075', '2075-04-24', '24 Apr 2075', '24/04/2075', '24th April, 2075', '2075/04/24']"
2080,July,2,"['02/07/2080', '02 Jul 2080', '2080/07/02', '07/02/2080', '2080-07-02', 'July 2nd, 2080', '02-07-2080', '2nd July, 2080']"
2080,March,7,"['07 Mar 2080', '07-03-2080', '2080/03/07']"
2040,April,1,"['01 Apr 2040', '2040-04-01']"
2059,December,25,"['25 Dec 2059', '2059-12-25', 'December 25th, 2059', '25-12-2059', '2059/12/25', '12/25/2059', '25/12/2059', '25th December, 2059']"
1980,November,12,"['11/12/1980', '12-11-1980', 'November 12th, 1980', '12/11/1980']"
1912,December,21,"['1912/12/21', '21 Dec 1912', '21-12-1912', '1912-12-21', '12/21/1912', 'December 21st, 1912', '21/12/1912']"
2077,March,10,"['10-03-2077', 'March 10th, 2077']"
1976,July,7,"['July 7th, 1976', '07/07/1976', '07/07/1976']"
1927,January,18,['18 Jan 1927']
1955,January,14,"['14 Jan 1955', 'January 14th, 1955', '14th January, 1955', '01/14/1955', '14/01/1955', '1955-01-14', '14-01-1955']"
1905,November,24,"['November 24th, 1905', '24 Nov 1905', '1905-11-24', '24/11/1905', '24-11-1905', '1905/11/24', '24th November, 1905', '11/24/1905']"
2093,February,16,"['16th February, 2093', '02/16/2093', '16 Feb 2093', '2093-02-16']"
2032,August,21,"['August 21st, 2032', '08/21/2032', '21st August, 2032', '2032-08-21']"
2082,December,23,['23 Dec 2082']
1955,March,15,"['15th March, 1955', '03/15/1955', '15 Mar 1955', '1955/03/15', '15/03/1955']"
1903,November,16,"['1903/11/16', '16-11-1903']"
1918,September,13,"['1918/09/13', '13/09/1918', '09/13/1918']"
1933,February,22,"['02/22/1933', '22nd February, 1933', '22 Feb 1933', 'February 22nd, 1933']"
1957,November,4,"['1957/11/04', '4th November, 1957', '04-11-1957']"
2077,June,17,"['17 Jun 2077', '17-06-2077']"
2064,July,8,"['July 8th, 2064', '08 Jul 2064', '8th July, 2064', '2064/07/08', '07/08/2064']"
1982,August,4,"['04-08-1982', '1982-08-04', '04/08/1982']"
2001,December,15,['12/15/2001']
2003,July,7,"['2003-07-07', '07-07-2003', '2003/07/07', '7th July, 2003', 'July 7th, 2003', '07 Jul 2003']"
2064,January,8,"['01/08/2064', '2064/01/08', '08-01-2064', '08/01/2064', '8th January, 2064', '2064-01-08', '08 Jan 2064']"
2046,June,8,"['8th June, 2046', '08/06/2046', '08 Jun 2046', '2046-06-08', '2046/06/08', '06/08/2046', 'June 8th, 2046', '08-06-2046']"
1943,December,25,"['25th December, 1943', '1943-12-25', 'December 25th, 1943', '12/25/1943', '25-12-1943']"
2084,September,8,"['08-09-2084', '08/09/2084', '2084/09/08', 'September 8th, 2084', '2084-09-08', '08 Sep 2084']"
2075,June,5,"['05 Jun 2075', 'June 5th, 2075', '2075-06-05', '5th June, 2075', '2075/06/05', '05-06-2075']"
1913,February,6,"['February 6th, 1913', '06/02/1913', '06 Feb 1913', '1913-02-06', '6th February, 1913', '1913/02/06']"
1954,September,17,"['September 17th, 1954']"
1911,October,21,"['1911/10/21', '21 Oct 1911', '21st October, 1911', 'October 21st, 1911', '21-10-1911', '1911-10-21', '21/10/1911', '10/21/1911']"
1918,March,24,"['24/03/1918', '24-03-1918', '1918-03-24']"
2091,September,20,"['September 20th, 2091', '20/09/2091', '2091-09-20']"
2037,July,11,['11 Jul 2037']
2028,July,4,['04 Jul 2028']
1942,March,11,"['11th March, 1942', 'March 11th, 1942', '1942/03/11', '03/11/1942']"
2027,December,10,"['10th December, 2027', 'December 10th, 2027', '10 Dec 2027', '12/10/2027', '2027/12/10']"
2000,October,1,"['01/10/2000', '2000/10/01', '2000-10-01', '01-10-2000', '1st October, 2000']"
1941,July,4,"['04 Jul 1941', '1941-07-04', '04/07/1941', '04-07-1941', '4th July, 1941', '1941/07/04', 'July 4th, 1941', '07/04/1941']"
2008,March,13,"['13 Mar 2008', '13th March, 2008', '13-03-2008', '03/13/2008', '13/03/2008', 'March 13th, 2008', '2008/03/13', '2008-03-13']"
1943,August,22,"['1943/08/22', '08/22/1943', '22-08-1943', '22/08/1943', '22nd August, 1943']"
1964,October,6,"['October 6th, 1964', '06 Oct 1964']"
2033,July,20,"['2033-07-20', '20 Jul 2033', '2033/07/20']"
1991,May,17,['1991/05/17']
1938,August,16,"['16/08/1938', '1938/08/16', '16th August, 1938', 'August 16th, 1938', '1938-08-16', '16-08-1938', '16 Aug 1938']"
1910,January,19,"['1910/01/19', 'January 19th, 1910', '19th January, 1910', '1910-01-19', '01/19/1910', '19/01/1910', '19 Jan 1910', '19-01-1910']"
2041,July,16,"['16 Jul 2041', '16th July, 2041']"
1972,July,8,"['07/08/1972', 'July 8th, 1972']"
2022,March,9,"['2022-03-09', '2022/03/09', '9th March, 2022', '03/09/2022', 'March 9th, 2022', '09/03/2022', '09-03-2022', '09 Mar 2022']"
2024,August,6,"['6th August, 2024', '2024/08/06']"
1952,September,14,['1952/09/14']
2034,March,24,"['24th March, 2034', '24/03/2034', '24 Mar 2034', '03/24/2034', '2034/03/24']"
1975,September,11,"['11th September, 1975', '1975/09/11']"
1917,November,23,"['23-11-1917', '1917/11/23', '1917-11-23', '11/23/1917']"
2050,November,8,"['08/11/2050', 'November 8th, 2050', '2050/11/08', '08 Nov 2050', '11/08/2050']"
2096,November,2,"['2096/11/02', '2096-11-02', '11/02/2096']"
1997,April,1,"['1st April, 1997', '1997-04-01']"
2058,January,13,"['13/01/2058', '13th January, 2058', '01/13/2058', '2058/01/13', '13-01-2058', 'January 13th, 2058']"
1922,December,12,"['1922-12-12', '1922/12/12', 'December 12th, 1922', '12th December, 1922', '12/12/1922']"
1937,February,20,"['20/02/1937', 'February 20th, 1937', '20 Feb 1937', '1937-02-20', '20-02-1937', '20th February, 1937', '1937/02/20', '02/20/1937']"
2069,May,24,"['24/05/2069', '2069-05-24', '24-05-2069']"
1950,March,15,"['March 15th, 1950']"
1957,October,21,"['10/21/1957', '21/10/1957', '1957-10-21', '1957/10/21', '21 Oct 1957', '21st October, 1957', '21-10-1957', 'October 21st, 1957']"
1964,August,21,"['1964/08/21', '21-08-1964', 'August 21st, 1964', '21/08/1964', '1964-08-21', '21st August, 1964', '21 Aug 1964']"
1950,January,13,"['13/01/1950', '1950/01/13', '13-01-1950', '13 Jan 1950']"
1956,January,27,"['27/01/1956', '01/27/1956', '27th January, 1956', '27 Jan 1956', 'January 27th, 1956']"
1955,July,24,"['July 24th, 1955', '07/24/1955', '24/07/1955', '24-07-1955', '24th July, 1955', '1955/07/24', '1955-07-24', '24 Jul 1955']"
2049,December,26,"['26th December, 2049', '26-12-2049', '2049/12/26', 'December 26th, 2049', '2049-12-26']"
2095,November,8,"['08/11/2095', 'November 8th, 2095', '8th November, 2095', '2095-11-08', '11/08/2095', '2095/11/08', '08-11-2095']"
1966,April,17,"['17/04/1966', '1966-04-17']"
2004,June,6,"['06/06/2004', '2004-06-06', '2004/06/06', '06-06-2004', '06/06/2004', 'June 6th, 2004', '06 Jun 2004', '6th June, 2004']"
2006,November,22,"['11/22/2006', '22nd November, 2006']"
1957,April,1,"['01-04-1957', 'April 1st, 1957', '1957/04/01']"
1927,December,1,"['1st December, 1927', 'December 1st, 1927', '1927-12-01', '1927/12/01', '01-12-1927']"
2078,March,9,"['March 9th, 2078']"
2002,April,7,"['2002/04/07', '04/07/2002', '2002-04-07', '7th April, 2002', '07 Apr 2002', '07-04-2002']"
2005,September,2,"['02-09-2005', '2005-09-02', '09/02/2005', 'September 2nd, 2005', '2nd September, 2005', '02 Sep 2005']"
1910,February,1,['1910-02-01']
2020,May,20,"['05/20/2020', 'May 20th, 2020', '20/05/2020', '2020/05/20', '2020-05-20', '20-05-2020']"
2082,October,24,"['24th October, 2082', '24 Oct 2082', 'October 24th, 2082', '2082/10/24', '24/10/2082', '10/24/2082']"
2063,June,22,"['22-06-2063', '2063-06-22', 'June 22nd, 2063', '2063/06/22', '22 Jun 2063', '06/22/2063', '22/06/2063', '22nd June, 2063']"
2004,August,5,"['August 5th, 2004', '05-08-2004', '2004-08-05', '08/05/2004', '2004/08/05', '05/08/2004']"
2032,February,12,"['12 Feb 2032', '02/12/2032', 'February 12th, 2032', '12th February, 2032', '2032-02-12']"
2012,September,28,"['28-09-2012', '28 Sep 2012', '2012-09-28', '28th September, 2012', '09/28/2012', '28/09/2012']"
2068,August,11,"['08/11/2068', '11-08-2068', '11 Aug 2068', '11/08/2068', '11th August, 2068', '2068-08-11', 'August 11th, 2068', '2068/08/11']"
1940,April,18,"['April 18th, 1940', '18/04/1940', '04/18/1940', '18th April, 1940', '18-04-1940', '1940-04-18', '1940/04/18', '18 Apr 1940']"
1904,August,14,"['14 Aug 1904', '14/08/1904', 'August 14th, 1904', '1904/08/14', '08/14/1904']"
2059,November,24,"['24/11/2059', 'November 24th, 2059', '24 Nov 2059', '24-11-2059', '24th November, 2059', '2059/11/24', '2059-11-24', '11/24/2059']"
1941,March,8,"['08-03-1941', '1941/03/08', '8th March, 1941', 'March 8th, 1941', '08/03/1941', '03/08/1941', '08 Mar 1941', '1941-03-08']"
